quan,thang,nam,gia,loaibds
4,11,2021,109,1
4,12,2021,109,1
4,1,2022,108,1
4,2,2022,109,1
4,3,2022,109,1
4,4,2022,107,1
4,5,2022,110,1
5,1,2017,0,1
5,2,2017,0,1
5,3,2017,85,1
5,4,2017,85,1
5,5,2017,109,1
5,6,2017,115,1
5,7,2017,121,1
5,8,2017,121,1
5,9,2017,120,1
5,10,2017,120,1
5,11,2017,120,1
5,12,2017,125,1
5,1,2018,89,1
5,2,2018,81,1
5,3,2018,99,1
5,4,2018,110,1
5,5,2018,118,1
5,6,2018,119,1
5,7,2018,133,1
5,8,2018,130,1
5,9,2018,133,1
5,10,2018,131,1
5,11,2018,126,1
5,12,2018,124,1
5,1,2019,123,1
5,2,2019,132,1
5,3,2019,133,1
5,4,2019,135,1
5,5,2019,147,1
5,6,2019,156,1
5,7,2019,160,1
5,8,2019,159,1
5,9,2019,159,1
5,10,2019,163,1
5,11,2019,158,1
5,12,2019,158,1
5,1,2020,151,1
5,2,2020,163,1
5,3,2020,171,1
5,4,2020,164,1
5,5,2020,195,1
5,6,2020,189,1
5,7,2020,193,1
5,8,2020,194,1
5,9,2020,195,1
5,10,2020,194,1
5,11,2020,195,1
5,12,2020,195,1
5,1,2021,198,1
5,2,2021,197,1
5,3,2021,195,1
5,4,2021,193,1
5,5,2021,197,1
5,6,2021,198,1
5,7,2021,195,1
5,8,2021,196,1
5,9,2021,197,1
5,10,2021,197,1
5,11,2021,196,1
5,12,2021,198,1
5,1,2022,198,1
5,2,2022,198,1
5,3,2022,200,1
5,4,2022,193,1
5,5,2022,192,1
6,1,2017,0,1
6,2,2017,0,1
6,3,2017,80,1
6,4,2017,80,1
6,5,2017,47,1
6,6,2017,55,1
6,7,2017,56,1
6,8,2017,58,1
6,9,2017,58,1
6,10,2017,58,1
6,11,2017,58,1
6,12,2017,60,1
6,1,2018,64,1
6,2,2018,66,1
6,3,2018,65,1
6,4,2018,66,1
6,5,2018,65,1
6,6,2018,67,1
6,7,2018,68,1
6,8,2018,69,1
6,9,2018,73,1
6,10,2018,73,1
6,11,2018,81,1
6,12,2018,85,1
6,1,2019,87,1
6,2,2019,86,1
6,3,2019,85,1
6,4,2019,87,1
6,5,2019,86,1
6,6,2019,89,1
6,7,2019,91,1
6,8,2019,93,1
6,9,2019,95,1
6,10,2019,94,1
6,11,2019,95,1
6,12,2019,92,1
6,1,2020,90,1
6,2,2020,93,1
6,3,2020,93,1
6,4,2020,95,1
6,5,2020,94,1
6,6,2020,101,1
6,7,2020,101,1
6,8,2020,102,1
6,9,2020,103,1
6,10,2020,104,1
6,11,2020,103,1
6,12,2020,103,1
6,1,2021,103,1
6,2,2021,103,1
6,3,2021,105,1
6,4,2021,105,1
6,5,2021,106,1
6,6,2021,106,1
6,7,2021,106,1
6,8,2021,106,1
6,9,2021,107,1
6,10,2021,108,1
6,11,2021,108,1
6,12,2021,108,1
6,1,2022,109,1
6,2,2022,110,1
6,3,2022,108,1
6,4,2022,107,1
6,5,2022,107,1
7,1,2017,19,1
7,2,2017,19,1
7,3,2017,48,1
7,4,2017,46,1
7,5,2017,49,1
7,6,2017,47,1
7,7,2017,48,1
7,8,2017,49,1
7,9,2017,49,1
7,10,2017,49,1
7,11,2017,49,1
7,12,2017,51,1
7,1,2018,53,1
7,2,2018,59,1
7,3,2018,53,1
7,4,2018,56,1
7,5,2018,64,1
7,6,2018,65,1
7,7,2018,65,1
7,8,2018,68,1
7,9,2018,68,1
7,10,2018,68,1
7,11,2018,68,1
7,12,2018,71,1
7,1,2019,73,1
7,2,2019,73,1
7,3,2019,78,1
7,4,2019,79,1
7,5,2019,77,1
7,6,2019,77,1
7,7,2019,78,1
7,8,2019,78,1
7,9,2019,76,1
7,10,2019,77,1
7,11,2019,79,1
7,12,2019,79,1
7,1,2020,79,1
7,2,2020,80,1
7,3,2020,83,1
7,4,2020,85,1
7,5,2020,87,1
7,6,2020,86,1
7,7,2020,85,1
7,8,2020,85,1
7,9,2020,85,1
7,10,2020,85,1
7,11,2020,86,1
7,12,2020,87,1
7,1,2021,88,1
7,2,2021,88,1
7,3,2021,88,1
7,4,2021,89,1
7,5,2021,88,1
7,6,2021,89,1
7,7,2021,89,1
7,8,2021,89,1
7,9,2021,90,1
7,10,2021,90,1
7,11,2021,90,1
7,12,2021,89,1
7,1,2022,90,1
7,2,2022,89,1
7,3,2022,90,1
7,4,2022,89,1
7,5,2022,90,1
8,1,2017,43,1
8,2,2017,43,1
8,3,2017,47,1
8,4,2017,45,1
8,5,2017,51,1
8,6,2017,51,1
8,7,2017,51,1
8,8,2017,52,1
8,9,2017,53,1
8,10,2017,53,1
8,11,2017,53,1
8,12,2017,59,1
8,1,2018,57,1
8,2,2018,57,1
8,3,2018,54,1
8,4,2018,55,1
8,5,2018,61,1
8,6,2018,60,1
8,7,2018,61,1
8,8,2018,63,1
8,9,2018,66,1
8,10,2018,69,1
8,11,2018,70,1
8,12,2018,72,1
8,1,2019,72,1
8,2,2019,74,1
8,3,2019,75,1
8,4,2019,77,1
8,5,2019,78,1
8,6,2019,78,1
8,7,2019,80,1
8,8,2019,80,1
8,9,2019,81,1
8,10,2019,82,1
8,11,2019,83,1
8,12,2019,86,1
8,1,2020,87,1
8,2,2020,89,1
8,3,2020,90,1
8,4,2020,91,1
8,5,2020,92,1
8,6,2020,91,1
8,7,2020,91,1
8,8,2020,91,1
8,9,2020,91,1
8,10,2020,91,1
8,11,2020,90,1
8,12,2020,90,1
8,1,2021,90,1
8,2,2021,89,1
8,3,2021,90,1
8,4,2021,91,1
8,5,2021,90,1
8,6,2021,90,1
8,7,2021,90,1
8,8,2021,90,1
8,9,2021,92,1
8,10,2021,93,1
8,11,2021,93,1
8,12,2021,94,1
8,1,2022,94,1
8,2,2022,95,1
8,3,2022,94,1
8,4,2022,95,1
8,5,2022,95,1
9,1,2017,0,1
9,2,2017,0,1
9,3,2017,26,1
9,4,2017,26,1
9,5,2017,14,1
9,6,2017,29,1
9,7,2017,29,1
9,8,2017,29,1
9,9,2017,29,1
9,10,2017,30,1
9,11,2017,30,1
9,12,2017,30,1
9,1,2018,31,1
9,2,2018,29,1
9,3,2018,34,1
9,4,2018,34,1
9,5,2018,34,1
9,6,2018,34,1
9,7,2018,34,1
9,8,2018,36,1
9,9,2018,37,1
9,10,2018,39,1
9,11,2018,41,1
9,12,2018,42,1
9,1,2019,43,1
9,2,2019,42,1
9,3,2019,44,1
9,4,2019,46,1
9,5,2019,49,1
9,6,2019,53,1
9,7,2019,52,1
9,8,2019,55,1
9,9,2019,55,1
9,10,2019,57,1
9,11,2019,57,1
9,12,2019,57,1
9,1,2020,58,1
9,2,2020,57,1
9,3,2020,59,1
9,4,2020,59,1
9,5,2020,58,1
9,6,2020,59,1
9,7,2020,58,1
9,8,2020,58,1
9,9,2020,58,1
9,10,2020,58,1
9,11,2020,57,1
9,12,2020,58,1
9,1,2021,58,1
9,2,2021,59,1
9,3,2021,61,1
9,4,2021,63,1
9,5,2021,64,1
9,6,2021,64,1
9,7,2021,65,1
9,8,2021,66,1
9,9,2021,66,1
9,10,2021,66,1
9,11,2021,66,1
9,12,2021,66,1
9,1,2022,66,1
9,2,2022,66,1
9,3,2022,68,1
9,4,2022,69,1
9,5,2022,69,1
10,1,2017,103,1
10,2,2017,103,1
10,3,2017,95,1
10,4,2017,92,1
10,5,2017,87,1
10,6,2017,99,1
10,7,2017,100,1
10,8,2017,99,1
10,9,2017,99,1
10,10,2017,101,1
10,11,2017,101,1
10,12,2017,100,1
10,1,2018,103,1
10,2,2018,106,1
10,3,2018,104,1
10,4,2018,109,1
10,5,2018,118,1
10,6,2018,121,1
10,7,2018,123,1
10,8,2018,125,1
10,9,2018,130,1
10,10,2018,137,1
10,11,2018,141,1
10,12,2018,136,1
10,1,2019,134,1
10,2,2019,140,1
10,3,2019,141,1
10,4,2019,146,1
10,5,2019,157,1
10,6,2019,159,1
10,7,2019,161,1
10,8,2019,160,1
10,9,2019,158,1
10,10,2019,155,1
10,11,2019,146,1
10,12,2019,149,1
10,1,2020,151,1
10,2,2020,163,1
10,3,2020,171,1
10,4,2020,175,1
10,5,2020,177,1
10,6,2020,180,1
10,7,2020,178,1
10,8,2020,179,1
10,9,2020,182,1
10,10,2020,181,1
10,11,2020,181,1
10,12,2020,178,1
10,1,2021,180,1
10,2,2021,182,1
10,3,2021,181,1
10,4,2021,182,1
10,5,2021,192,1
10,6,2021,184,1
10,7,2021,183,1
10,8,2021,183,1
10,9,2021,185,1
10,10,2021,185,1
10,11,2021,185,1
10,12,2021,185,1
10,1,2022,185,1
10,2,2022,186,1
10,3,2022,182,1
10,4,2022,178,1
10,5,2022,181,1
11,1,2017,72,1
11,2,2017,72,1
11,3,2017,66,1
11,4,2017,67,1
11,5,2017,76,1
11,6,2017,80,1
11,7,2017,81,1
11,8,2017,81,1
11,9,2017,81,1
11,10,2017,81,1
11,11,2017,82,1
11,12,2017,84,1
11,1,2018,87,1
11,2,2018,89,1
11,3,2018,93,1
11,4,2018,94,1
11,5,2018,94,1
11,6,2018,93,1
11,7,2018,94,1
11,8,2018,94,1
11,9,2018,94,1
11,10,2018,94,1
11,11,2018,95,1
11,12,2018,97,1
11,1,2019,100,1
11,2,2019,105,1
11,3,2019,106,1
11,4,2019,108,1
11,5,2019,111,1
11,6,2019,111,1
11,7,2019,114,1
11,8,2019,114,1
11,9,2019,113,1
11,10,2019,117,1
11,11,2019,120,1
11,12,2019,122,1
11,1,2020,128,1
11,2,2020,131,1
11,3,2020,133,1
11,4,2020,130,1
11,5,2020,129,1
11,6,2020,132,1
11,7,2020,133,1
11,8,2020,134,1
11,9,2020,135,1
11,10,2020,135,1
11,11,2020,135,1
11,12,2020,136,1
11,1,2021,136,1
11,2,2021,137,1
11,3,2021,137,1
11,4,2021,139,1
11,5,2021,140,1
11,6,2021,142,1
11,7,2021,142,1
11,8,2021,143,1
11,9,2021,145,1
11,10,2021,144,1
11,11,2021,145,1
11,12,2021,147,1
11,1,2022,148,1
11,2,2022,148,1
11,3,2022,150,1
11,4,2022,150,1
11,5,2022,145,1
12,1,2017,28,1
12,2,2017,28,1
12,3,2017,27,1
12,4,2017,29,1
12,5,2017,32,1
12,6,2017,30,1
12,7,2017,30,1
12,8,2017,30,1
12,9,2017,30,1
12,10,2017,30,1
12,11,2017,31,1
12,12,2017,32,1
12,1,2018,32,1
12,2,2018,32,1
12,3,2018,32,1
12,4,2018,33,1
12,5,2018,33,1
12,6,2018,35,1
12,7,2018,35,1
12,8,2018,37,1
12,9,2018,38,1
12,10,2018,38,1
12,11,2018,40,1
12,12,2018,43,1
12,1,2019,45,1
12,2,2019,47,1
12,3,2019,47,1
12,4,2019,48,1
12,5,2019,50,1
12,6,2019,52,1
12,7,2019,53,1
12,8,2019,53,1
12,9,2019,54,1
12,10,2019,55,1
12,11,2019,56,1
12,12,2019,57,1
12,1,2020,57,1
12,2,2020,57,1
12,3,2020,57,1
12,4,2020,58,1
12,5,2020,58,1
12,6,2020,58,1
12,7,2020,58,1
12,8,2020,58,1
12,9,2020,58,1
12,10,2020,58,1
12,11,2020,58,1
12,12,2020,58,1
12,1,2021,58,1
12,2,2021,58,1
12,3,2021,59,1
12,4,2021,59,1
12,5,2021,59,1
12,6,2021,59,1
12,7,2021,59,1
12,8,2021,60,1
12,9,2021,60,1
12,10,2021,60,1
12,11,2021,60,1
12,12,2021,60,1
12,1,2022,60,1
12,2,2022,61,1
12,3,2022,63,1
12,4,2022,63,1
12,5,2022,64,1
Bình Tân,1,2017,41,1
Bình Tân,2,2017,41,1
Bình Tân,3,2017,43,1
Bình Tân,4,2017,41,1
Bình Tân,5,2017,44,1
Bình Tân,6,2017,42,1
Bình Tân,7,2017,42,1
Bình Tân,8,2017,42,1
Bình Tân,9,2017,42,1
Bình Tân,10,2017,42,1
Bình Tân,11,2017,42,1
Bình Tân,12,2017,42,1
Bình Tân,1,2018,42,1
Bình Tân,2,2018,42,1
Bình Tân,3,2018,44,1
Bình Tân,4,2018,45,1
Bình Tân,5,2018,47,1
Bình Tân,6,2018,48,1
Bình Tân,7,2018,48,1
Bình Tân,8,2018,49,1
Bình Tân,9,2018,50,1
Bình Tân,10,2018,52,1
Bình Tân,11,2018,55,1
Bình Tân,12,2018,57,1
Bình Tân,1,2019,59,1
Bình Tân,2,2019,61,1
Bình Tân,3,2019,61,1
Bình Tân,4,2019,61,1
Bình Tân,5,2019,61,1
Bình Tân,6,2019,60,1
Bình Tân,7,2019,62,1
Bình Tân,8,2019,63,1
Bình Tân,9,2019,65,1
Bình Tân,10,2019,66,1
Bình Tân,11,2019,68,1
Bình Tân,12,2019,68,1
Bình Tân,1,2020,69,1
Bình Tân,2,2020,70,1
Bình Tân,3,2020,71,1
Bình Tân,4,2020,72,1
Bình Tân,5,2020,72,1
Bình Tân,6,2020,75,1
Bình Tân,7,2020,74,1
Bình Tân,8,2020,73,1
Bình Tân,9,2020,113,1
Bình Tân,10,2020,112,1
Bình Tân,11,2020,111,1
Bình Tân,12,2020,73,1
Bình Tân,1,2021,73,1
Bình Tân,2,2021,73,1
Bình Tân,3,2021,74,1
Bình Tân,4,2021,74,1
Bình Tân,5,2021,74,1
Bình Tân,6,2021,75,1
Bình Tân,7,2021,75,1
Bình Tân,8,2021,75,1
Bình Tân,9,2021,75,1
