,gia
2/1/2017,102
3/1/2017,102
4/1/2017,102
5/1/2017,203
6/1/2017,203
7/1/2017,182
8/1/2017,182
9/1/2017,182
10/1/2017,181
11/1/2017,181
12/1/2017,168
1/1/2018,148
2/1/2018,148
3/1/2018,148
4/1/2018,159
5/1/2018,157
6/1/2018,176
7/1/2018,200
8/1/2018,211
9/1/2018,211
10/1/2018,213
11/1/2018,249
12/1/2018,243
1/1/2019,255
2/1/2019,252
3/1/2019,242
4/1/2019,244
5/1/2019,224
6/1/2019,227
7/1/2019,223
8/1/2019,202
9/1/2019,201
10/1/2019,255
11/1/2019,254
12/1/2019,341
1/1/2020,324
2/1/2020,277
3/1/2020,267
4/1/2020,285
5/1/2020,313
6/1/2020,302
7/1/2020,325
8/1/2020,338
9/1/2020,335
10/1/2020,334
11/1/2020,336
12/1/2020,333
1/1/2021,350
2/1/2021,348
3/1/2021,349
4/1/2021,355
5/1/2021,365
6/1/2021,371
7/1/2021,368
8/1/2021,371
9/1/2021,364
10/1/2021,361
11/1/2021,358
12/1/2021,354
1/1/2022,353
2/1/2022,352
3/1/2022,261
4/1/2022,351
5/1/2022,327
6/1/2022,398
7/1/2022,402.625
8/1/2022,407.25
9/1/2022,411.875
10/1/2022,416.5
11/1/2022,421.125
